sepal length,sepal width,petal length,petal width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,NaN,versicolor
5.6,3.0,4.1,1.3,versicolor
NaN,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,NaN
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,NaN
5.6,NaN,4.2,1.3,versicolor
5.7,3.0,NaN,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,NaN
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,NaN,5.1,1.9,virginica
NaN,3.0,NaN,2.1,virginica
6.3,NaN,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,NaN,1.7,virginica
NaN,2.9,6.3,1.8,virginica
6.7,NaN,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,NaN,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,NaN,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,NaN
7.7,2.6,6.9,2.3,virginica
6.0,NaN,NaN,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,NaN,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,NaN
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
NaN,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,NaN
6.7,3.1,5.6,2.4,virginica
6.9,NaN,5.1,2.3,virginica
NaN,NaN,5.1,1.9,virginica
6.8,3.2,5.9,NaN,virginica
6.7,3.3,5.7,2.5,NaN
NaN,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,NaN,NaN,2.3,virginica
5.9,3.0,NaN,1.8,virginica
